 StopAbbr, StopName, NodeAbbr, SiteName, StreetNum, StreetNo, OnStreet, AtStreet, Unit, City, State, ZipCode, AddressSummary, ZoneCode, Phone, Lon, Lat, GeoStatus, CellArea, ShapeId, PercentDistFromA, SegmentSideFlag, Comments, PictureFile, IvrNum, BayNum, StopPosition, FacingDir, FareZoneId, CurbType, InService, LastServiceDate, AccessibilityMask, Preferred, Bench, Shelter, Lighting, Garbage, Telephone, SignPost, Bicycle, Transfer, GpsLon, GpsLat, GpsHeight, GIS_X, GIS_Y, UserD3, UserD4, UserD5, XCRD, YCRD, IPOS, DIST FROM AT ST, GRID, PARC, UserS7, NODE, GTF_Wheelchair_boarding, UserS10, SHORT_DESC, CRNR, ADDR, INTR, LMRK, IMPS, UserA7, STALF, STACF, STBEF, STALN, STACN, STBEN, Sch. Display, LIGHTING, DIR OF TRAVEL, IVR Sign, Garbage, ADA ACCESS, SIDEWALK, LIFT, CURB, CURB CUT, TELEPHONE, PARK & RIDE, BUS STOP TYPE, NEIGHBORHOOD TYP, BASE, LIGHTING, COLLECT DATE, MapPage, CountyCode, Station Name, GpsRadius, StopClass, StopClusterId, Heading
100026,JOSEPH E LOWERY BLVD@PARSONS ST SW, ,,0,0,JOSEPH E LOWERY BLVD,PARSONS,,ATLANTA,,30314,ASHBY ST SW@PARSONS ST SW,,,-84417277,33750630,-1,0,0,0,0,O, ,100026, ,NS,N,0, ,1,0,1,0,0,1,0,0,0,0,0,1,-84,34,0,2220414.402,1364417.629,0,0,0,2387,2239,4108,15,15,15,15,15,1,0,100026,SE,N,Y,N,N,0,  ASHBY               ST  SW,  PARSONS             ST  SW,,  ASHBY               ST  SW,  PARSONS             ST  SW, ,,S,N ,,,Y,Y ,Y,Y ,Y ,P,N,SGN,MIX,DIRT,,Jun 11 1997 12:00:00:000AM,,,,0, ,0,0
100028,JOSEPH E LOWERY BLVD@BECKWITH ST SW, ,,0,0,JOSEPH E LOWERY BLVD,BECKWITH,,ATLANTA,,30314,ASHBY ST SW@BECKWITH ST SW,,,-84417322,33752027,-1,0,0,0,0,0, ,100028, ,NS,N,0, ,1,0,1,0,0,1,0,0,0,0,0,1,-84,34,0,2220401.742,1364926.093,0,0,0,2387,2245,2060,10,10,10,10,10,1,0,100028,SE,N,Y,N,N,0,  ASHBY               ST  SW,  BECKWITH            ST  SW,,  ASHBY               ST  SW,  BECKWITH            ST  SW, ,,S,N ,,,Y,Y ,Y,Y ,Y ,N,N,SGN,RES,CONC,,May 23 1996 12:00:00:000AM,,,,0, ,0,1
100030,ATLANTA STUDENT MOVEMENT BLVD @ EUHRLEE ST SW,,,0,0,ATLANTA STUDENT MOVEMENT BLVD SW,EUHRLEE ST SW,,ATLANTA,,30314,FAIR ST SW@EUHRLEE ST SW,,,-84416015,33749264,-2147483632,894,144844,4,0,O,,100030,,NS,W,0,,1,0,1,0,0,1,0,0,0,0,0,0,-84,34,0,2220825.129,1364000.202,0,0,0,2392,2232,290,10,10,10,10,10,1,0,100030,NE,N,Y,N,N,0,  FAIR                ST  SW,  EUHRLEE             ST  SW,,  FAIR                ST  SW,  EUHRLEE             ST  SW, ,,S,W ,,,Y,Y ,Y,Y ,Y ,N,N,SGN,SCH,CONC,,May 23 1996 12:00:00:000AM,,,,0,,0,267
100032,ATLANTA STUDENT MOVEMENT BLVD @ OGDEN ST SW,,,0,0,ATLANTA STUDENT MOVEMENT BLVD SW,OGDEN ST SW,,ATLANTA,,30314,FAIR ST SW@OGDEN ST SW,,,-84416809,33749236,-2147483632,894,251074,6,0,0,,100032,,NS,W,0,,1,0,1,0,0,0,1,0,0,1,0,1,-84,34,0,2220578.321,1363997.422,0,0,0,2390,2232,802,15,15,15,15,15,1,0,100032,NE,N,Y,N,N,0,  FAIR                ST  SW,  OGDEN               ST  SW,,  FAIR                ST  SW,  OGDEN               ST  SW, ,,S,W ,,,Y,Y ,Y,Y ,Y ,N,N,SGN,SCH,CONC,,Feb 24 1997 12:00:00:000AM,,,,0,,0,268
100035,FAIR ST SW @ JOSEPH E LOWERY BLVD,,,0,0,FAIR ST SW,ABBOTT ST SW,,ATLANTA,,30314,FAIR ST SW@ASHBY ST SW,,,-84418059,33748985,-2147483632,894,154236,25,0,0,,100035,,NS,E,0,,1,0,1,0,0,0,1,0,0,1,0,1,-84,34,0,2220263.103,1363797.394,0,0,0,2387,2232,1040,165,125,125,125,125,1,0,100035,SW,N,Y,N,N,0,  FAIR                ST  SW,JOSEPH E LOWERY BLVD,,  FAIR                ST  SW,JOSEPH E LOWERY BLVD, ,,S,E ,,,Y,Y ,Y,Y ,Y ,N,N,SGN,RES,DIRT,,Feb 24 1997 12:00:00:000AM,,,,0,,0,91
100036,FAIR ST SW @ ABBOTT ST SW,,,0,0,FAIR,ABBOTT,,ATLANTA,,30314,FAIR ST SW@ABBOTT ST SW,,,-84419167,33748959,-1,0,0,0,0,0,,100036,,FS,E,0,,1,0,1,0,0,1,0,0,0,0,0,0,-84,34,0,2219855.75,1363846.875,0,0,0,2379,2232,1044,125,125,125,125,125,1,0,100036,SE,N,Y,N,N,0,  FAIR                ST  SW,  ABBOTT              ST  SW,,  FAIR                ST  SW,  ABBOTT              ST  SW, ,,S,E ,,,Y,Y ,Y,Y ,Y ,N,N,SGN,RES,CONC,,May 23 1996 12:00:00:000AM,,,,0,,0,91
100038,FAIR ST SW @ AGNES JONES PL SW,,,0,0,FAIR,AGNES JONES,,ATLANTA,,30314,FAIR ST SW@AGNES JONES PL SW,,,-84420273,33748981,-1,0,0,0,0,0,,100038,,FS,E,0,,1,0,1,0,0,1,0,0,0,0,0,0,-84,34,0,2219502.025,1363819.877,0,0,0,2374,2232,788,150,150,150,150,150,1,0,100038,SE,N,Y,N,N,0,  FAIR                ST  SW,  AGNES JONES         PL  SW,,  FAIR                ST  SW,  AGNES JONES         PL  SW, ,,S,E ,,,Y,Y ,Y,Y ,Y ,N,N,SGN,RES,CONC,,May 23 1996 12:00:00:000AM,,,,0,,0,90
100040,FAIR ST SW @ JOSE ST SW,,,0,0,FAIR,JOSE,,ATLANTA,,30314,FAIR ST SW@JOSE ST SW,,,-84421694,33748920,-1,0,0,0,0,0,,100040,,NS,E,0,,1,0,1,0,0,0,1,0,0,1,0,0,-84,34,0,2219070.066,1363798.617,0,0,0,2372,2232,272,15,25,25,25,25,1,0,100040,SW,N,Y,N,N,0,  FAIR                ST  SW,  ST JOSE             ST  SW,,  FAIR                ST  SW,  ST JOSE             ST  SW, ,,S,E ,,,Y,Y ,Y,Y ,Y ,N,N,SGN,SCH,DIRT,,May 23 1996 12:00:00:000AM,,,,0,,0,90
100042,FAIR ST SW@LAWTON ST SW,,,0,0,FAIR ST SW,LAWTON ST SW,,ATLANTA,,30314,FAIR ST SW@LAWTON ST SW,,,-84423135,33749088,-2147483632,894,205870,4,0,0,,100042,,NS,W,0,,1,0,1,0,0,0,1,0,0,1,0,0,-84,34,0,2218670.256,1363953.992,0,0,0,2366,2232,802,25,25,25,25,25,1,0,100042,NE,N,Y,N,N,0,  FAIR                ST  SW,  LAWTON              ST  SW,,  FAIR                ST  SW,  LAWTON              ST  SW, ,,S,W ,,,Y,Y ,Y,Y ,Y ,N,N,SGN,SCH,DIRT,,May 23 1996 12:00:00:000AM,,,,0,,0,270
100043,FAIR ST SW@SAINT JOSE ST SW,,,0,0,FAIR,ST JOSE,,ATLANTA,,30314,FAIR ST SW@ST JOSE ST SW,,,-84421726,33749272,-1,0,0,0,0,0,,100043,,FS,W,0,,1,0,1,0,0,0,1,0,0,1,0,0,-84,34,0,2219060.861,1363926.775,0,0,0,2372,2232,286,50,40,40,40,40,1,0,100043,NW,N,Y,N,N,0,  FAIR                ST  SW,  ST JOSE             ST  SW,,  FAIR                ST  SW,  ST JOSE             ST  SW, ,,S,W ,,,Y,Y ,Y,Y ,Y ,N,N,SGN,SCH,DIRT,,Feb 24 1997 12:00:00:000AM,,,,0,,0,271
100044,ATLANTA STUDENT MOVEMENT BLVD @ EUHARLEE ST SW, ,,0,0,ATLANTA STUDENT MOVEMENT BLVD SW,EUHRLEE ST SW,,ATLANTA,,30314,FAIR ST SW@EUHRLEE ST SW,,,-84416048,33749192,-2147483632,894,144844,0,1,O, ,100044, ,FS,NE,0, ,1,0,1,0,0,1,0,0,0,0,0,0,-84,34,0,2220774.5,1363869.75,0,0,0,2392,2232,297,0,0,0,0,0,1,0,100044,NE,N,Y,N,N,0,  FAIR                ST  SW,  EUHRLEE             ST  SW,,  FAIR                ST  SW,  EUHRLEE             ST  SW, ,,S,NE,,,Y,Y ,Y,Y ,Y ,N,N,SGN,SCH,CONC,,May 23 1996 12:00:00:000AM,,,,0, ,0,88
100045,FAIR ST SW@AGNES JONES PL SW,,,0,0,FAIR ST SW,AGNES JONES PL SW,,ATLANTA,,30314,FAIR ST SW@AGNES JONES PL SW,,,-84420461,33749162,-2147483632,894,287036,34,0,0,,100045,,NS,W,0,,1,0,1,0,0,0,1,0,0,1,0,0,-84,34,0,2219653.168,1363923.258,0,0,0,2374,2232,802,125,125,125,125,125,1,0,100045,NE,N,Y,N,N,0,  FAIR                ST  SW,  AGNES JONES         PL  SW,,  FAIR                ST  SW,  AGNES JONES         PL  SW, ,,S,W ,,,Y,Y ,Y,Y ,Y ,N,N,SGN,SCH,CONC,,Feb 24 1997 12:00:00:000AM,,,,0,,0,270
100046,JOSEPH E LOWERY BLVD@MITCHELL ST SW, ,,0,0,JOSEPH E LOWERY BLVD SW,MITCHELL ST SW,,ATLANTA,,30314,ASHBY ST SW@MITCHELL ST SW,,,-84417466,33753318,-2147483632,895,161921,81,1,0, ,100046, ,NS,N,0, ,1,0,1,0,0,1,0,0,0,0,0,1,-84,34,0,2220401.742,1365436.742,0,0,0,2387,2251,4108,40,40,40,40,40,1,0,100046,SE,N,Y,N,N,0,  ASHBY               ST  SW,  MITCHELL            ST  SW,,  ASHBY               ST  SW,  MITCHELL            ST  SW, ,,S,N ,,,Y,Y ,Y,Y ,Y ,P,N,SGN,MIX,DIRT,,May 23 1996 12:00:00:000AM,,,,0, ,0,359
100048,JOSEPH E LOWERY BLVD @ MARTIN L KING JR DR, ,,0,0,JOSEPH E LOWERY BLVD,MARTIN LUTHER KING J,,ATLANTA,,30314,ASHBY ST SW@MARTIN LUTHER KING J DR SW,,,-84417346,33754524,-1,0,0,0,0,O,,100048, ,NS,N,0, ,1,0,1,0,0,0,0,1,0,1,0,1,-84,34,0,2220396.868,1365834.576,0,0,0,2387,2257,2060,25,25,25,25,25,1,0,100048,SE,N,Y,N,N,0,  ASHBY               ST  SW,  MARTIN LUTHER KING JDR  SW,,  ASHBY               ST  SW,  MARTIN LUTHER KING JDR  SW, ,,S,N ,,Y,Y,Y ,Y,Y ,Y ,P,N,SGN,COM,DIRT,,May 23 1996 12:00:00:000AM,,,,0, ,0,0
100050,MARTIN LUTHER KING J@CHICAMAUGA AVE,,,0,0,MARTIN LUTHER KING JR DR NW,CHICAMAUGA AVE NW,,ATLANTA,,30314,MARTIN LUTHER KING J@CHICAMAUGA AVE SW,,,-84432088,33753690,-2147483632,895,95707,10,0,0,,100050,,NS,E,0,,1,0,1,0,0,1,0,0,0,0,0,0,-84,34,0,2215862.492,1365463.37,0,0,0,2333,2252,528,25,25,25,25,25,1,0,100050,SW,N,Y,N,N,0,  MARTIN LUTHER KING JDR  SW,  CHICAMAUGA          AVE SW,,  MARTIN LUTHER KING JDR  SW,  CHICAMAUGA          AVE SW, ,,S,E ,,,Y,Y ,Y,Y ,Y ,N,N,SGN,RES,DIRT,,May 23 1996 12:00:00:000AM,,,,0,,0,94
100052,MARTIN LUTHER KING J DR SW@CERRO ST,,,0,0,MARTIN LUTHER KING JR DR NW,CERRO ST SW,,ATLANTA,,30314,MARTIN LUTHER KING J DR SW@CERRO ST SW,,,-84429794,33753549,-2147483632,895,58199,2,0,0,,100052,,NS,E,0,,1,0,0,0,0,1,0,0,0,0,0,0,-84,34,0,2216567.727,1365393.334,0,0,0,2342,2251,3856,15,15,15,15,15,0,0,100052,SW,N,Y,N,N,0,  MARTIN LUTHER KING JDR  SW,  CERRO               ST  SW,,  MARTIN LUTHER KING JDR  SW,  CERRO               ST  SW, ,,S,E ,,,N,Y ,Y,Y ,N ,N,N,SGN,RES,CONC,,May 23 1996 12:00:00:000AM,,,,0,,0,94
100054,MARTIN LUTHER KING J DR SW@BURBANK ,,,0,0,MARTIN LUTHER KING JR DR NW,BURBANK DR NW,,ATLANTA,,30314,MARTIN LUTHER KING J DR SW@BURBANK DR SW,,,-84428174,33753443,-2147483632,895,139136,29,0,0,,100054,,NS,E,0,,1,0,1,0,0,0,1,0,0,1,0,0,-84,34,0,2217074.947,1365370.951,0,0,0,2348,2251,3344,25,25,25,25,25,1,0,100054,SW,N,Y,N,N,0,  MARTIN LUTHER KING JDR  SW,  BURBANK             DR  SW,,  MARTIN LUTHER KING JDR  SW,  BURBANK             DR  SW, ,,S,E ,,,Y,Y ,Y,Y ,Y ,N,N,SGN,RES,DIRT,,May 23 1996 12:00:00:000AM,,,,0,,0,94
100058,HOLDERNESS ST SW @ FAIR ST SW,,,0,0,HOLDERNESS,FAIR,,ATLANTA,,30314,HOLDERNESS ST SW@FAIR ST SW,,,-84426351,33748933,-1,0,0,0,0,0,,100058,,NS,N,0,,1,0,1,0,0,1,0,0,0,0,0,0,-84,34,0,2217654.775,1363807.188,0,0,0,2354,2232,780,10,10,10,10,10,1,0,100058,SE,N,Y,N,N,0,  HOLDERNESS          ST  SW,  FAIR                ST  SW,,  HOLDERNESS          ST  SW,  FAIR                ST  SW, ,,S,N ,,,Y,Y ,Y,Y ,Y ,N,N,SGN,RES,DIRT,,May 23 1996 12:00:00:000AM,,,,0,,0,1
100060,FAIR ST SW@HOLDERNESS ST SW,,,0,0,FAIR ST SW,HOLDERNESS ST SW,,ATLANTA,,30314,FAIR ST SW@HOLDERNESS ST SW,,,-84426353,33749076,-2147483632,894,5267,95,1,0,,100060,,NS,W,0,,1,0,0,0,0,0,1,0,0,1,0,0,-84,34,0,2217670.436,1363940.274,0,0,0,2354,2232,802,15,25,25,25,25,0,0,100060,NE,N,Y,N,N,0,  FAIR                ST  SW,  HOLDERNESS          ST  SW,,  FAIR                ST  SW,  HOLDERNESS          ST  SW, ,,S,W ,,,N,Y ,Y,Y ,N ,N,N,SGN,RES,DIRT,,May 23 1996 12:00:00:000AM,,,,0,,0,271
100061,HOLDERNESS ST SW@WESTVIEW DR SW,,,0,0,HOLDERNESS,WESTVIEW,,ATLANTA,,30314,HOLDERNESS ST SW@WESTVIEW DR SW,,,-84426611,33747532,-1,0,0,0,0,0,,100061,,FS,N,0,,1,0,0,0,0,0,1,0,0,1,0,0,-84,34,0,2217574.227,1363297.494,0,0,0,2352,2224,296,60,40,40,40,40,0,0,100061,NE,N,Y,N,N,0,  HOLDERNESS          ST  SW,  WESTVIEW            DR  SW,,  HOLDERNESS          ST  SW,  WESTVIEW            DR  SW, ,,S,N ,,,Y,Y ,Y,Y ,Y ,N,N,SGN,RES,DIRT,,May 23 1996 12:00:00:000AM,,,,0,,0,31
100062,HOLDERNESS ST SW@WESTVIEW DR SW,,,0,0,HOLDERNESS,WESTVIEW,,ATLANTA,,30314,HOLDERNESS ST SW@WESTVIEW DR SW,,,-84426987,33747425,-1,0,0,0,0,0,,100062,,NS,S,0,,1,0,0,0,0,0,1,0,0,1,0,0,-84,34,0,2217477.5,1363294.875,0,0,0,2352,2224,294,30,30,30,30,30,0,0,100062,NW,N,Y,N,N,0,  HOLDERNESS          ST  SW,  WESTVIEW            DR  SW,,  HOLDERNESS          ST  SW,  WESTVIEW            DR  SW, ,,S,S ,,,N,Y ,Y,Y ,N,N,N,SGN,RES,DIRT,,May 23 1996 12:00:00:000AM,,,,0,,0,211
100063,WESTVIEW DR SW@LANGHORN ST SW,,,0,0,WESTVIEW,LANGHORN,,ATLANTA,,30310,WESTVIEW DR SW@LANGHORN ST SW,,,-84427994,33747154,-1,0,0,0,0,0,,100063,,FS,E,0,,1,0,0,0,0,1,0,0,0,0,0,0,-84,34,0,2217171.25,1363197.125,0,0,0,2348,2224,276,0,0,0,0,0,0,0,100063,SE,N,Y,N,N,0,  WESTVIEW            DR  SW,  LANGHORN            ST  SW,,  WESTVIEW            DR  SW,  LANGHORN            ST  SW, ,,S,E ,,,N,N ,N,Y ,N ,N,N,SGN,RES,DIRT,,May 23 1996 12:00:00:000AM,,,,0,,0,89
100066,WESTVIEW DR SW@ATWOOD ST SW,,,0,0,WESTVIEW,ATWOOD,,ATLANTA,,30310,WESTVIEW DR SW@ATWOOD ST SW,,,-84429146,33747192,-1,0,0,0,0,0,,100066,,NS,E,0,,1,0,0,0,0,1,0,0,0,0,0,0,-84,34,0,2216821,1363211.875,0,0,0,2345,2224,528,10,10,10,10,10,0,0,100066,SW,N,Y,N,N,0,  WESTVIEW            DR  SW,  ATWOOD              ST  SW,,  WESTVIEW            DR  SW,  ATWOOD              ST  SW, ,,S,E ,,,N,N ,N,Y ,N ,N,N,SGN,RES,DIRT,,May 23 1996 12:00:00:000AM,,,,0,,0,91
100067,WESTVIEW DR SW@HOPKINS ST SW,,,0,0,WESTVIEW DR SW,HOPKINS ST SW,,ATLANTA,,30314,WESTVIEW DR SW@HOPKINS ST SW,,,-84430916,33747363,-2147483632,894,955185,6,0,0,,100067,,NS,W,0,,1,0,0,0,0,0,1,0,0,1,0,0,-84,34,0,2216285.779,1363338.649,0,0,0,2337,2224,546,25,25,25,25,25,0,0,100067,NE,N,Y,N,N,0,  WESTVIEW            DR  SW,  HOPKINS             ST  SW,,  WESTVIEW            DR  SW,  HOPKINS             ST  SW, ,,S,W ,,,N,Y ,Y,Y ,N,N,N,SGN,RES,CONC,,May 23 1996 12:00:00:000AM,,,,0,,0,270
100069,WESTVIEW DR SW@CHICAMAUGA AVE SW,,,0,0,WESTVIEW DR SW,CHICAMAUGA AVE SW,,ATLANTA,,30314,WESTVIEW DR SW@CHICAMAUGA AVE SW,,,-84432101,33747379,-2147483632,894,13902,95,1,0,,100069,,NS,W,0,,1,0,1,0,0,0,1,0,0,1,0,0,-84,34,0,2215938.667,1363359.408,0,0,0,2333,2225,1570,10,25,25,25,25,1,0,100069,NE,N,Y,N,N,0,  WESTVIEW            DR  SW,  CHICAMAUGA          AVE SW,,  WESTVIEW            DR  SW,  CHICAMAUGA          AVE SW, ,,S,W ,,,Y,Y ,Y,Y ,Y,N,N,SGN,RES,DIRT,,May 23 1996 12:00:00:000AM,,,,0,,0,272
100070,WESTVIEW DR SW @ CHICAMAUGA AVE SW,,,0,0,WESTVIEW DR SW,CHICAMAUGA AVE SW,,ATLANTA,,30310,WESTVIEW DR SW@CHICAMAUGA AVE SW,,,-84432645,33747280,-2147483632,894,664003,26,0,0,,100070,,NS,E,0,,1,0,1,0,0,0,1,0,0,1,0,0,-84,34,0,2215851.75,1363246.375,0,0,0,2333,2225,1552,150,0,0,0,0,1,0,100070,SW,N,Y,N,N,0,  WESTVIEW            DR  SW,  CHICAMAUGA          AVE SW,,  WESTVIEW            DR  SW,  CHICAMAUGA          AVE SW, ,,S,E ,,,Y,Y,Y,Y,Y,N,N,SGN,RES,DIRT,,May 23 1996 12:00:00:000AM,,,,0,,0,92
